"Name,""Description"",""DataType"",""Default"",""Value"",""Compliance"""
"RestrictAnonymousAccessToNamedPipesAndShares,""Network access: Restrict anonymous access to Named Pipes and Shares"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"RestrictClientsAllowedToMakeRemoteCallsToSAM,""Network access: Restrict clients allowed to make remote calls to SAM"",""String"",""O:BAG:BAD:(A";;RC;;;"BA)"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"RSSDisableEnclosureDownload,""Prevent downloading of enclosures"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"RunAllAdministratorsInAdminApprovalMode,""User Account Control: Run all administrators in Admin Approval Mode"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"SafeDllSearchMode,""MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended)"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"SearchAllowIndexingEncryptedStoresOrItems,""Allow indexing of encrypted files"",""Integer"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"SendUnencryptedPasswordToThirdPartySMBServers,""Microsoft network client: Send unencrypted password to third-party SMB servers"",""Integer"",""0"",""0"",""@{Status=Compliant"; Reason=0 is equal to 0;" Severity=Critical}"""
"ServerSPNTargetNameValidationLevel,""Microsoft network server: Server SPN target name validation level"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"SharesThatCanBeAccessedAnonymously,""Network access: Shares that can be accessed anonymously"",""Array"",""System.Object[]"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"SharingAndSecurityModelForLocalAccounts,""Network access: Sharing and security model for local accounts"",""Integer"",""0"",""0"",""@{Status=Compliant"; Reason=0 is equal to 0;" Severity=Critical}"""
"ShellDataExecutionPrevention,""Turn off Data Execution Prevention for Explorer"",""Integer"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"ShutdownSystemImmediatelyIfUnableToLogSecurityAudits,""Audit: Shut down system immediately if unable to log security audits"",""Integer"",""0"",""0"",""@{Status=Compliant"; Reason=0 is equal to 0;" Severity=Critical}"""
"SmartScreenEnableSmartScreenInShell,""Configure Windows SmartScreen"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"StrengthenDefaultPermissionsOfInternalSystemObjects,""System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"SwitchToTheSecureDesktopWhenPromptingForElevation,""User Account Control: Switch to the secure desktop when prompting for elevation"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"SystemAllowTelemetry,""Allow Diagnostic Data"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Warning}"""
"SystemBootStartDriverInitialization,""Boot-Start Driver Initialization Policy"",""Integer"",""3"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"SystemEnableSoftwareRestrictionPolicies,""System settings: Use Certificate Rules on Windows Executables for Software Restriction Policies"",""Integer"",""1"",""0"",""@{Status=NotCompliant"; Reason=0 is not equal to 1;" Severity=Warning}"""
"SystemLogonCacheSize,""Caching of logon credentials must be limited"",""String"",""4"",""10"",""@{Status=NotCompliant"; Reason=10 is greater than the maximum value 4;" Severity=Informational}"""
"SystemMinimizeInternetConnections,""Minimize the number of simultaneous connections to the Internet or a Windows Domain"",""Integer"",""1"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"SystemWindowsSearchService,""Disable Windows Search Service"",""Integer"",""4"",""4"",""@{Status=Compliant"; Reason=4 is equal to 4;" Severity=Critical}"""
"TerminalServerTS_TEMP_DELETE,""Do not delete temp folders upon exit"",""Integer"",""1"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"TerminalServerTS_TEMP_PER_SESSION,""Do not use temporary folders per session"",""Integer"",""1"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"TerminalServerTS_USER_AUTHENTICATION_POLICY,""Require user authentication for remote connections by using Network Level Authentication"",""Integer"",""1"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"TurnOff_Windows_Error_Reporting,""The Application Compatibility Program Inventory must be prevented from collecting data and sending the information to Microsoft."",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Informational}"""
"UseAdminApprovalMode,""User Account Control: Admin Approval Mode for the Built-in Administrator account"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"UserRightsAccessCredentialManagerAsTrustedCaller,""Access Credential Manager as a trusted caller"",""String"","""","""",""@{Status=Compliant";" Reason="""""""" is equal to """"""""";" Severity=Warning}"""
"UserRightsAccessFromNetwork,""Access this computer from the network"",""Array"",""*S-1-5-32-544 *S-1-5-11"",""System.Object[]"",""@{Status=NotCompliant";" Reason=""""*S-1-5-32-551"""" is not one of the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-11""""]";" Severity=Critical}"""
"UserRightsActAsPartOfTheOperatingSystem,""Act as part of the operating system"",""String"","""","""",""@{Status=Compliant";" Reason="""""""" is equal to """"""""";" Severity=Critical}"""
"UserRightsAdjustMemoryQuotasForProcess,""Adjust memory quotas for a process"",""Array"",""*S-1-5-32-544 *S-1-5-19 *S-1-5-20"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544"""",""""*S-1-5-20"""",""""*S-1-5-19""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-19"""",""""*S-1-5-20""""]";" Severity=Warning}"""
"UserRightsAllowLocalLogOn,""Allow log on locally"",""Array"",""*S-1-5-32-544"",""System.Object[]"",""@{Status=NotCompliant";" Reason=""""*S-1-5-32-551"""" is not one of the expected values: [""""*S-1-5-32-544""""]";" Severity=Critical}"""
"UserRightsAllowLogOnThroughRemoteDesktop,""Allow log on through Remote Desktop Services"",""Array"",""*S-1-5-32-544 *S-1-5-32-555"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-555"""",""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-32-555""""]";" Severity=Critical}"""
"UserRightsBackupFilesAndDirectories,""Back up files and directories"",""Array"",""*S-1-5-32-544 *S-1-5-32-551 *S-1-5-32-549"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-551"""",""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-32-551"""",""""*S-1-5-32-549""""]";" Severity=Critical}"""
"UserRightsBypassTraverseChecking,""Bypass traverse checking"",""Array"",""*S-1-5-32-544 *S-1-5-11 *S-1-5-32-551 *S-1-5-19 *S-1-5-20"",""System.Object[]"",""@{Status=NotCompliant";" Reason=""""*S-1-5-32-545"""" is not one of the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-11"""",""""*S-1-5-32-551"""",""""*S-1-5-19"""",""""*S-1-5-20""""]";" Severity=Critical}"""
"UserRightsChangeSystemTime,""Change the system time"",""Array"",""*S-1-5-32-544 *S-1-5-32-549 *S-1-5-19"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544"""",""""*S-1-5-19""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-32-549"""",""""*S-1-5-19""""]";" Severity=Critical}"""
"UserRightsChangeTimeZone,""Change the time zone"",""Array"",""*S-1-5-32-544 *S-1-5-19"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544"""",""""*S-1-5-19""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-19""""]";" Severity=Critical}"""
"UserRightsCreateGlobalObjects,""Create global objects"",""Array"",""*S-1-5-32-544 *S-1-5-6 *S-1-5-19 *S-1-5-20"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-6"""",""""*S-1-5-32-544"""",""""*S-1-5-20"""",""""*S-1-5-19""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-6"""",""""*S-1-5-19"""",""""*S-1-5-20""""]";" Severity=Warning}"""
"UserRightsCreatePageFile,""Create a pagefile"",""Array"",""*S-1-5-32-544"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544""""]";" Severity=Critical}"""
"UserRightsCreatePermanentSharedObjects,""Create permanent shared objects"",""String"","""","""",""@{Status=Compliant";" Reason="""""""" is equal to """"""""";" Severity=Warning}"""
"UserRightsCreateSymbolicLinks,""Create symbolic links"",""Array"",""*S-1-5-32-544 *S-1-5-83-0"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-83-0""""]";" Severity=Critical}"""
"UserRightsCreateToken,""Create a token object"",""String"","""","""",""@{Status=Compliant";" Reason="""""""" is equal to """"""""";" Severity=Warning}"""
"UserRightsDenyAccessFromNetwork,""Deny access to this computer from the network"",""Array"",""*S-1-5-32-546"",""System.Object[]"",""@{Status=NotCompliant";" Reason=[] is missing one or more of the required values: """"*S-1-5-32-546""""";" Severity=Critical}"""
"UserRightsDenyLocalLogOn,""Deny log on locally"",""Array"",""*S-1-5-32-546"",""System.Object[]"",""@{Status=NotCompliant";" Reason=[] is missing one or more of the required values: """"*S-1-5-32-546""""";" Severity=Critical}"""
"UserRightsDenyLogOnAsBatchJob,""Deny log on as a batch job"",""Array"",""*S-1-5-32-546"",""System.Object[]"",""@{Status=NotCompliant";" Reason=[] is missing one or more of the required values: """"*S-1-5-32-546""""";" Severity=Critical}"""
"UserRightsDenyLogOnAsService,""Deny log on as a service"",""Array"",""*S-1-5-32-546"",""System.Object[]"",""@{Status=NotCompliant";" Reason=[] is missing one or more of the required values: """"*S-1-5-32-546""""";" Severity=Critical}"""
"UserRightsEnableDelegation,""Enable computer and user accounts to be trusted for delegation"",""String"","""","""",""@{Status=Compliant";" Reason="""""""" is equal to """"""""";" Severity=Critical}"""
"UserRightsGenerateSecurityAudits,""Generate security audits"",""Array"",""*S-1-5-19 *S-1-5-20 *S-1-5-82-3006700770-424185619-1745488364-794895919-4004696415"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-20"""",""""*S-1-5-19""""] contains the expected values: [""""*S-1-5-19"""",""""*S-1-5-20"""",""""*S-1-5-82-3006700770-424185619-1745488364-794895919-4004696415""""]";" Severity=Critical}"""
"UserRightsIncreaseProcessWorkingSet,""Increase a process working set"",""Array"",""*S-1-5-32-544 *S-1-5-19"",""System.Object[]"",""@{Status=NotCompliant";" Reason=""""*S-1-5-32-545"""" is not one of the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-19""""]";" Severity=Warning}"""
"UserRightsIncreaseSchedulingPriority,""Increase scheduling priority"",""Array"",""*S-1-5-32-544"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-90-0"""",""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-90-0""""]";" Severity=Warning}"""
"UserRightsLoadUnloadDeviceDrivers,""Load and unload device drivers"",""Array"",""*S-1-5-32-544 *S-1-5-32-550"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-32-550""""]";" Severity=Warning}"""
"UserRightsLockMemory,""Lock pages in memory"",""String"","""","""",""@{Status=Compliant";" Reason="""""""" is equal to """"""""";" Severity=Warning}"""
"UserRightsManageAuditingAndSecurityLog,""Manage auditing and security log"",""Array"",""*S-1-5-32-544"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544""""]";" Severity=Critical}"""
"UserRightsManageVolume,""Perform volume maintenance tasks"",""Array"",""*S-1-5-32-544"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544""""]";" Severity=Warning}"""
"UserRightsModifyFirmwareEnvironment,""Modify firmware environment values"",""Array"",""*S-1-5-32-544"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544""""]";" Severity=Warning}"""
"UserRightsModifyObjectLabel,""Modify an object label"",""String"","""","""",""@{Status=Compliant";" Reason="""""""" is equal to """"""""";" Severity=Warning}"""
"UserRightsProfileSingleProcess,""Profile single process"",""Array"",""*S-1-5-32-544"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544""""]";" Severity=Warning}"""
"UserRightsProfileSystemPerformance,""Profile system performance"",""Array"",""*S-1-5-32-544 *S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420"""",""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420""""]";" Severity=Warning}"""
"UserRightsRemoteShutdown,""Force shutdown from a remote system"",""Array"",""*S-1-5-32-544"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544""""]";" Severity=Critical}"""
"UserRightsReplaceProcessLevelToken,""Replace a process level token"",""Array"",""*S-1-5-19 *S-1-5-20"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-20"""",""""*S-1-5-19""""] contains the expected values: [""""*S-1-5-19"""",""""*S-1-5-20""""]";" Severity=Warning}"""
"UserRightsRestoreFilesAndDirectories,""Restore files and directories"",""Array"",""*S-1-5-32-544 *S-1-5-32-551"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-551"""",""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-32-551""""]";" Severity=Warning}"""
"UserRightsShutDownTheSystem,""Shut down the system"",""Array"",""*S-1-5-32-544 *S-1-5-32-551"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-551"""",""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544"""",""""*S-1-5-32-551""""]";" Severity=Warning}"""
"UserRightsTakeOwnership,""Take ownership of files or other objects"",""Array"",""*S-1-5-32-544"",""System.Object[]"",""@{Status=Compliant";" Reason=[""""*S-1-5-32-544""""] contains the expected values: [""""*S-1-5-32-544""""]";" Severity=Critical}"""
"VirtualizeFileAndRegistryWriteFailuresToPerUserLocations,""User Account Control: Virtualize file and registry write failures to per-user locations"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"WindowsDefenderDisableAntiSpyware,""Turn off Microsoft Defender AntiVirus"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Critical}"""
"WindowsDefenderExploitGuardASRExploitGuard_ASR_Rules,""Configure Attack Surface Reduction rules"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"WindowsDefenderExploitGuardNetworkProtectionEnableNetworkProtection,""Prevent users and apps from accessing dangerous websites"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"WindowsDefenderPUAProtection,""Configure detection for potentially unwanted applications"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"WindowsDefenderRealTimeProtectionDisableBehaviorMonitoring,""Turn on behavior monitoring"",""Integer"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"WindowsDefenderRealTimeProtectionDisableIOAVProtection,""Scan all downloaded files and attachments"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Warning}"""
"WindowsDefenderRealTimeProtectionDisableRealtimeMonitoring,""Turn off real-time protection"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Warning}"""
"WindowsDefenderRealTimeProtectionDisableScriptScanning,""Turn on script scanning"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Warning}"""
"WindowsDefenderScanDisableEmailScanning,""Turn on e-mail scanning"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Warning}"""
"WindowsDefenderScanDisableRemovableDriveScanning,""Scan removable drives"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Critical}"""
"WindowsDefenderSecurityCenterAppBrowserProtectionDisallowExploitProtectionOverride,""Prevent users from modifying settings"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"WindowsDefenderSpyNetLocalSettingOverrideSpynetReporting,""Configure local setting override for reporting to Microsoft MAPS"",""Integer"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"WindowsDefenderSpyNetSubmitSamplesConsent,""Send file samples when further analysis is required"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"WindowsExplorerShellProtocolProtectedModeTitle_2,""Turn off shell protocol protected mode"",""Integer"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"WindowsLogonAllowAutomaticRestartSignOn,""Sign-in last interactive user automatically after a system-initiated restart"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"WindowsLogonDisableLockScreenAppNotifications,""Turn off app notifications on the lock screen"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"WindowsLogonDontDisplayNetworkSelectionUI,""Do not display network selection UI"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"WindowsLogonEnumerateLocalUsersOnDomainJoinedComputers,""Enumerate local users on domain-joined computers"",""Integer"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"WindowsPowerShellTurnOnPowerShellScriptBlockLogging,""Turn on PowerShell Script Block Logging"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Important}"""
